epoch,SLE_disease/counts_loss,SLE_disease/profile_loss,loss,val_SLE_disease/counts_loss,val_SLE_disease/profile_loss,val_loss
0,0.5773676451040696,9.189118746449896,14.962795190282948,0.28018217737523815,9.15723056482694,11.959052324198506
1,0.40256283626684664,8.297452104378557,12.323080478720419,0.20007048301132663,8.928900338922228,10.929605151925768
2,0.3857008042414991,8.13872755110262,11.995735600676449,0.24181383887055122,8.744659752309879,11.162798111278398
3,0.377918044571864,8.063608817504885,11.842789274138761,0.21546515323867385,8.729166310271044,10.883817839240674
4,0.3699062424022783,8.016111097696303,11.715173516671273,0.21057668821772663,8.713885432251988,10.819652322672841
5,0.36069233301639936,7.985313330062771,11.592236659143332,0.22028939570398393,8.742520613441387,10.945414580355553
6,0.3458873240096947,7.989072620226714,11.447945859173393,0.206356368936376,8.754707396439047,10.818271080185719
7,0.32980351429204535,7.998044548517569,11.296079691226964,0.22458063060304978,8.770417354371917,11.016223685939593
8,0.3152254682277521,8.00685774360136,11.159112421450173,0.23643845640361844,8.816219089581185,11.18060368950033
9,0.30668332177701874,8.014418241403542,11.08125145984296,0.22986809633066482,8.800821335333248,11.09950231761791
10,0.3005763988996541,8.035092502040065,11.040856493342858,0.22026577152856805,8.807782745193553,11.01044047600352
11,0.2933008597780686,8.035065061299115,10.968073673164431,0.32398939463124576,8.773347714987208,12.013241674434642
