epoch,RA_disease/counts_loss,RA_disease/profile_loss,SLE_disease/counts_loss,SLE_disease/profile_loss,loss,val_RA_disease/counts_loss,val_RA_disease/profile_loss,val_SLE_disease/counts_loss,val_SLE_disease/profile_loss,val_loss
0,0.2817619986171533,4.970089050092543,0.47247097353335027,9.269671540906701,21.782090316575058,0.1394312346306968,4.41208791964406,0.21923921553441575,9.60736715746339,17.60615956696978
1,0.25531949250800967,4.639062222431527,0.39469661471051615,8.4895547985103,19.62877808615611,0.14437436708871693,4.257467759271782,0.23119643017144978,8.916956733254825,16.93013250211556
2,0.2521087864005277,4.541304497735133,0.3789779954409017,8.136008258695057,18.988180571346934,0.14033133202858009,4.1929823368104255,0.21606964481913887,8.72430001098193,16.48129214052016
3,0.24979976761521672,4.517317503986666,0.3664320425405348,8.058943332902203,18.738578936441634,0.13784480361264043,4.215102024644886,0.26014212247599244,8.788956693196544,16.983927987274225
4,0.24405882799306192,4.527161119725602,0.34383593435276993,8.075006454023292,18.48111518795402,0.13948202697542292,4.207203158468743,0.20431155504348877,8.785991430251023,16.431130397450474
5,0.23949757475268954,4.53172844833089,0.32808887206629933,8.090898452569116,18.29849137896573,0.14323990622595228,4.227289558147338,0.24105137758601397,8.857447992152956,16.9276503909643
6,0.23538859872500922,4.5370391310925,0.31803521307122157,8.098395383942515,18.16967262627818,0.14491711750386785,4.216066482775869,0.26661880649543956,8.761244678180294,17.092670400664076
7,0.23187721002851747,4.540379833552864,0.3106764036228502,8.10718960173794,18.073105568280354,0.14049107194177168,4.23985655312771,0.21362203154965131,8.821762069920727,16.60274967580329
8,0.22960802312269826,4.543383933779822,0.30359169436282707,8.112680077990731,17.988061199727074,0.1496362765545348,4.229940210359036,0.2516361660447698,8.810402809259719,17.053067433923218
9,0.22739672261854207,4.550846087046658,0.2971244257420644,8.124093624083237,17.920151173247707,0.14161546098541933,4.229164857468204,0.24947130551232224,8.786321800754825,16.926354289105547
